,index,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
57,57,0.8571428571428571,3.0,0.2857142857142857,1.1428571428571428,7.857142857142857,18.0,2.7142857142857144,8.0,13.285714285714286,14.571428571428571,2.857142857142857,6.571428571428571,1.7142857142857142,1.0,0.1428571428571428,0.0,0.2857142857142857,1.0,0.0
58,58,1.5714285714285714,1.0,1.0,0.5714285714285714,15.428571428571429,9.571428571428571,7.142857142857143,3.0,17.0,17.428571428571427,5.714285714285714,4.142857142857143,1.7142857142857142,2.0,0.0,0.0,0.4285714285714285,0.4285714285714285,0.0
59,59,1.4285714285714286,1.2857142857142858,0.5714285714285714,0.8571428571428571,10.857142857142858,9.0,4.571428571428571,3.4285714285714284,15.571428571428571,13.428571428571429,3.7142857142857135,4.0,2.2857142857142856,2.4285714285714284,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,1.0
60,60,0.2857142857142857,1.5714285714285714,0.1428571428571428,0.5714285714285714,9.857142857142858,14.0,3.2857142857142856,5.142857142857143,21.0,16.428571428571427,4.285714285714286,6.571428571428571,1.1428571428571428,1.8571428571428568,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.0
61,61,1.2857142857142858,1.0,0.8571428571428571,0.4285714285714285,11.285714285714286,9.571428571428571,4.428571428571429,3.4285714285714284,20.428571428571427,16.571428571428573,4.285714285714286,5.0,2.142857142857143,1.2857142857142858,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.0
62,62,1.0,0.7142857142857143,0.4285714285714285,0.2857142857142857,11.285714285714286,12.0,4.0,3.571428571428572,16.142857142857142,14.714285714285714,6.857142857142857,3.857142857142857,1.7142857142857142,1.7142857142857142,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0
63,63,0.625,1.125,0.25,0.75,11.75,12.125,3.625,4.875,15.625,20.5,3.625,4.125,1.875,1.875,0.0,0.125,0.125,0.375,0.0
64,64,0.75,0.25,0.25,0.125,7.125,9.75,2.5,3.125,13.875,21.25,2.75,4.625,1.875,1.125,0.125,0.125,0.25,0.125,0.0
65,65,1.625,2.25,0.625,1.125,13.25,15.625,5.125,6.625,16.125,14.5,5.875,7.25,1.875,1.125,0.125,0.0,0.375,0.375,0.0
66,66,0.625,1.75,0.25,0.75,9.5,12.0,2.375,4.875,20.375,15.125,3.125,4.5,2.625,2.125,0.0,0.125,0.125,0.375,0.0
