,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
88,04/11/2018,Mainz,Werder Bremen,0.5555555555555556,1.8888888888888888,H,0.1111111111111111,0.8888888888888888,12.88888888888889,13.0,3.4444444444444446,4.555555555555555,13.0,11.222222222222221,4.333333333333333,4.333333333333333,1.5555555555555556,2.0,0.0,0.1111111111111111,0.2222222222222222,0.5555555555555556,1.0
89,04/11/2018,M'gladbach,Fortuna Dusseldorf,2.2222222222222223,0.6666666666666666,H,0.7777777777777778,0.2222222222222222,13.444444444444445,11.777777777777779,4.666666666666667,4.555555555555555,9.0,12.333333333333334,6.111111111111111,4.333333333333333,1.1111111111111112,2.2222222222222223,0.0,0.0,0.5555555555555556,0.1111111111111111,1.0
90,09/11/2018,Hannover,Wolfsburg,1.2,1.4,H,0.4,0.4,12.7,12.9,4.7,4.8,11.8,11.1,5.6,6.3,2.0,2.3,0.2,0.0,0.1,0.3,1.0
91,10/11/2018,Dortmund,Bayern Munich,3.0,1.8,H,1.1,0.7,13.4,18.1,5.4,6.1,7.8,7.2,6.4,8.9,0.9,1.4,0.1,0.1,0.7,0.6,1.0
92,10/11/2018,Fortuna Dusseldorf,Hertha,0.6,1.5,H,0.2,0.8,11.9,10.4,4.7,3.9,11.9,11.5,4.3,4.1,2.2,2.2,0.0,0.0,0.1,0.4,1.0
93,10/11/2018,Freiburg,Mainz,1.4,0.7,A,0.6,0.2,12.1,12.9,4.5,3.7,11.3,12.4,3.9,4.2,1.7,1.4,0.1,0.0,0.3,0.3,0.0
94,10/11/2018,Hoffenheim,Augsburg,2.2,1.8,H,0.4,0.7,16.5,14.3,6.7,5.3,13.4,15.6,5.6,5.2,1.9,2.2,0.0,0.0,0.5,0.3,1.0
95,10/11/2018,Nurnberg,Stuttgart,1.1,0.6,A,0.2,0.2,10.3,10.4,3.2,2.5,10.3,8.2,5.0,4.2,1.9,1.6,0.1,0.1,0.2,0.1,0.0
96,10/11/2018,Werder Bremen,M'gladbach,1.8,2.3,A,0.8,0.7,13.1,14.2,4.5,4.9,10.9,9.6,4.5,6.5,2.0,1.1,0.1,0.0,0.5,0.6,0.0
97,11/11/2018,Ein Frankfurt,Schalke 04,2.3,0.8,H,1.0,0.1,10.7,13.1,4.5,3.6,12.2,13.5,4.0,4.4,1.5,2.2,0.2,0.2,0.5,0.3,1.0
98,11/11/2018,RB Leipzig,Leverkusen,1.9,1.6,H,0.9,0.9,16.6,14.1,6.1,4.7,12.4,11.0,5.2,5.4,2.2,1.5,0.0,0.1,0.5,0.3,1.0
99,23/11/2018,Leverkusen,Stuttgart,1.4545454545454546,0.7272727272727273,H,0.8181818181818182,0.18181818181818182,13.454545454545455,10.636363636363637,4.454545454545454,2.6363636363636362,11.090909090909092,8.363636363636363,5.181818181818182,4.636363636363637,1.4545454545454546,1.4545454545454546,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.18181818181818182,1.0
100,24/11/2018,Augsburg,Ein Frankfurt,1.7272727272727273,2.3636363636363638,A,0.6363636363636364,0.9090909090909091,15.0,11.0,5.454545454545454,4.454545454545454,14.727272727272727,11.727272727272727,5.2727272727272725,4.545454545454546,2.090909090909091,1.3636363636363635,0.0,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.0
101,24/11/2018,Bayern Munich,Fortuna Dusseldorf,1.8181818181818181,0.9090909090909091,D,0.7272727272727273,0.18181818181818182,17.272727272727273,12.636363636363637,5.818181818181818,5.090909090909091,7.2727272727272725,12.181818181818182,8.636363636363637,4.090909090909091,1.5454545454545454,2.090909090909091,0.09090909090909091,0.0,0.5454545454545454,0.18181818181818182,0.0
102,24/11/2018,Hertha,Hoffenheim,1.4545454545454546,2.1818181818181817,D,0.7272727272727273,0.36363636363636365,10.454545454545455,16.636363636363637,4.0,6.7272727272727275,11.818181818181818,13.454545454545455,4.2727272727272725,5.636363636363637,2.272727272727273,1.8181818181818181,0.09090909090909091,0.0,0.36363636363636365,0.5454545454545454,0.0
103,24/11/2018,Mainz,Dortmund,0.9090909090909091,3.0,A,0.36363636363636365,1.0,12.818181818181818,13.181818181818182,4.181818181818182,5.363636363636363,12.181818181818182,7.454545454545454,4.181818181818182,5.818181818181818,1.4545454545454546,1.0909090909090908,0.0,0.09090909090909091,0.36363636363636365,0.7272727272727273,0.0
104,24/11/2018,Schalke 04,Nurnberg,0.7272727272727273,1.0,H,0.09090909090909091,0.18181818181818182,12.363636363636363,10.272727272727273,3.3636363636363638,3.1818181818181817,13.454545454545455,10.636363636363637,4.363636363636363,4.818181818181818,2.1818181818181817,1.8181818181818181,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,1.0
105,24/11/2018,Wolfsburg,RB Leipzig,1.3636363636363635,2.0,H,0.36363636363636365,0.9090909090909091,13.454545454545455,16.363636363636363,5.181818181818182,6.181818181818182,10.818181818181818,12.363636363636363,6.181818181818182,5.090909090909091,2.272727272727273,2.0,0.0,0.0,0.2727272727272727,0.5454545454545454,1.0
106,25/11/2018,Freiburg,Werder Bremen,1.3636363636363635,1.7272727272727273,D,0.5454545454545454,0.7272727272727273,12.363636363636363,13.727272727272727,4.454545454545454,4.545454545454546,12.0,10.545454545454545,3.8181818181818183,4.909090909090909,1.6363636363636365,1.8181818181818181,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.0
107,25/11/2018,M'gladbach,Hannover,2.3636363636363638,1.2727272727272727,H,0.7272727272727273,0.45454545454545453,14.363636363636363,12.454545454545455,5.0,4.636363636363637,8.909090909090908,12.0,6.363636363636363,5.363636363636363,1.0,2.1818181818181817,0.0,0.18181818181818182,0.6363636363636364,0.18181818181818182,1.0
108,30/11/2018,Fortuna Dusseldorf,Mainz,1.0833333333333333,0.9166666666666666,A,0.25,0.3333333333333333,12.333333333333334,13.0,5.083333333333333,4.416666666666667,11.75,11.916666666666666,3.9166666666666665,4.333333333333333,2.0,1.5,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0
109,01/12/2018,Dortmund,Freiburg,2.9166666666666665,1.3333333333333333,H,0.9166666666666666,0.5833333333333334,13.0,13.25,5.5,4.833333333333333,7.75,11.5,5.75,4.0,1.0833333333333333,1.5,0.08333333333333333,0.08333333333333333,0.75,0.25,1.0
110,01/12/2018,Hannover,Hertha,1.25,1.5833333333333333,A,0.5,0.75,11.833333333333334,11.5,4.5,4.333333333333333,11.833333333333334,11.583333333333334,5.333333333333333,4.583333333333333,2.0833333333333335,2.1666666666666665,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0
111,01/12/2018,Hoffenheim,Schalke 04,2.25,1.0833333333333333,D,0.5,0.25,16.333333333333332,13.0,6.666666666666667,3.9166666666666665,13.416666666666666,12.916666666666666,5.583333333333333,4.583333333333333,1.8333333333333333,2.0833333333333335,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0
